customer_id,purchase_amount,category,purchase_date,quantity,age,location,customer_tenure_months,income_level,month,day_of_week,hour,satisfaction_score
4,291.66,Home & Garden,2023-06-03,3,57,Rural,1,Low,6,Saturday,0,41
5,36.41,Books,2023-01-31,2,31,Suburban,4,Medium,1,Tuesday,0,37
5,451.98,Sports,2023-01-26,1,31,Suburban,4,Medium,1,Thursday,0,49
5,263.87,Fashion,2023-01-31,1,31,Suburban,4,Medium,1,Tuesday,0,24
5,769.87,Electronics,2023-08-15,2,31,Suburban,4,High,8,Tuesday,0,23
5,15.01,Books,2023-01-13,1,31,Suburban,4,High,1,Friday,0,29
5,46.81,Books,2023-04-06,2,31,Suburban,4,Medium,4,Thursday,0,39
5,27.46,Home & Garden,2023-04-02,1,31,Suburban,4,Medium,4,Sunday,0,28
5,331.99,Electronics,2023-02-19,2,31,Suburban,4,Medium,2,Sunday,0,22
5,139.33,Sports,2023-01-22,2,31,Suburban,4,Medium,1,Sunday,0,23
5,534.36,Electronics,2023-06-19,3,31,Suburban,4,nan,6,Monday,0,27
5,243.82,Electronics,2023-04-12,2,31,Suburban,4,Medium,4,Wednesday,0,28
5,49.14,Books,2023-03-23,3,31,Suburban,4,Low,3,Thursday,0,19
5,50.58,Sports,2023-05-20,1,31,Suburban,4,Medium,5,Saturday,0,32
5,45.51,Sports,2023-01-15,3,31,Suburban,4,Medium,1,Sunday,0,25
5,413.45,Sports,2023-03-12,4,31,Suburban,4,Medium,3,Sunday,0,43
5,373.08,Sports,2023-03-31,4,31,Suburban,4,Medium,3,Friday,0,26
5,99.8,Home & Garden,2023-04-27,3,31,Suburban,4,Low,4,Thursday,0,34
5,327.24,Sports,2023-01-18,2,31,Suburban,4,Low,1,Wednesday,0,35
5,21.68,Fashion,2023-05-10,1,31,Suburban,4,Medium,5,Wednesday,0,34
6,56.73,Fashion,2023-05-13,3,31,Urban,16,Medium,5,Saturday,0,36
6,68.59,Home & Garden,2023-06-03,4,31,Urban,16,Low,6,Saturday,0,37
6,27.48,Sports,2023-01-04,1,31,Urban,16,High,1,Wednesday,0,38
6,768.56,Electronics,2023-02-09,3,31,Urban,16,Medium,2,Thursday,0,48
6,298.96,Home & Garden,2023-03-01,4,31,Urban,16,nan,3,Wednesday,0,38
6,179.52,Fashion,2023-02-19,1,31,Urban,16,Low,2,Sunday,0,26
6,11.16,Books,2023-01-21,1,31,Urban,16,Low,1,Saturday,0,38
6,216.11,Sports,2023-03-13,3,31,Urban,16,Medium,3,Monday,0,26
6,33.2,Books,2023-03-24,2,31,Urban,16,Low,3,Friday,0,27
6,127.89,Fashion,2023-01-03,3,31,Urban,16,nan,1,Tuesday,0,23
6,527.37,Electronics,2023-04-29,4,31,Urban,16,Low,4,Saturday,0,30
6,147.38,Fashion,2023-03-14,4,31,Urban,16,Medium,3,Tuesday,0,29
6,15.9,Books,2023-02-26,2,31,Urban,16,nan,2,Sunday,0,27
6,54.71,Sports,2023-05-26,1,31,Urban,16,Medium,5,Friday,0,22
7,260.68,Sports,2023-04-26,3,58,Urban,2,Low,4,Wednesday,0,34
8,125.8,Fashion,2023-02-14,2,46,Urban,20,Medium,2,Tuesday,0,33
8,61.73,Home & Garden,2023-02-01,1,46,Urban,20,Medium,2,Wednesday,0,25
8,100.14,Home & Garden,2023-01-31,2,46,Urban,20,Low,1,Tuesday,0,54
8,177.09,Fashion,2023-01-21,1,46,Urban,20,Medium,1,Saturday,0,36
8,28.33,Books,2023-01-15,4,46,Urban,20,High,1,Sunday,0,31
8,183.69,Fashion,2023-01-01,1,46,Urban,20,High,1,Sunday,0,26
8,87.39,Sports,2023-09-13,1,46,Urban,20,Low,9,Wednesday,0,32
8,31.37,Sports,2023-01-05,2,46,Urban,20,Low,1,Thursday,0,32
8,155.97,Sports,2023-06-04,2,46,Urban,20,Low,6,Sunday,0,32
8,172.06,Fashion,2023-01-18,4,46,Urban,20,Medium,1,Wednesday,0,47
8,32.86,Home & Garden,2023-01-15,4,46,Urban,20,Medium,1,Sunday,0,13
8,94.0,Fashion,2023-08-19,2,46,Urban,20,High,8,Saturday,0,27
8,289.57,Home & Garden,2023-10-04,2,46,Urban,20,High,10,Wednesday,0,42
9,420.86,Electronics,2023-01-16,3,27,Urban,21,Low,1,Monday,0,28
9,54.41,Fashion,2023-02-06,1,27,Urban,21,Medium,2,Monday,0,15
10,163.44,Electronics,2023-01-29,3,43,Urban,8,Low,1,Sunday,0,27
10,442.54,Electronics,2023-07-16,2,43,Urban,8,Low,7,Sunday,0,48
10,34.29,Home & Garden,2023-03-20,2,43,Urban,8,Low,3,Monday,0,21
10,107.25,Fashion,2023-10-19,4,43,Urban,8,Low,10,Thursday,0,28
10,551.77,Electronics,2023-02-23,1,43,Urban,8,Medium,2,Thursday,0,43
10,54.58,Sports,2023-06-14,2,43,Urban,8,Medium,6,Wednesday,0,25
10,29.81,Home & Garden,2023-01-23,3,43,Urban,8,Low,1,Monday,0,26
10,16.59,Books,2023-05-22,2,43,Urban,8,nan,5,Monday,0,23
10,36.39,Books,2023-01-30,1,43,Urban,8,Medium,1,Monday,0,24
10,470.14,Electronics,2023-03-23,2,43,Urban,8,Low,3,Thursday,0,26
10,120.61,Electronics,2023-02-03,2,43,Urban,8,Low,2,Friday,0,29
10,404.21,Sports,2023-03-02,3,43,Urban,8,Medium,3,Thursday,0,47
10,36.81,Fashion,2023-01-22,4,43,Urban,8,nan,1,Sunday,0,46
11,156.31,Sports,2023-04-13,3,28,Urban,0,Medium,4,Thursday,0,45
11,48.43,Fashion,2023-06-07,3,28,Urban,0,nan,6,Wednesday,0,32
11,118.48,Home & Garden,2023-01-19,2,28,Urban,0,Medium,1,Thursday,0,48
11,1019.87,Electronics,2023-05-12,4,28,Urban,0,Medium,5,Friday,0,70
11,104.25,Home & Garden,2023-12-10,3,28,Urban,0,Medium,12,Sunday,0,33
11,652.7,Electronics,2023-12-08,3,28,Urban,0,High,12,Friday,0,31
11,49.36,Books,2023-04-11,4,28,Urban,0,Medium,4,Tuesday,0,43
11,443.92,Sports,2023-01-18,3,28,Urban,0,High,1,Wednesday,0,25
11,32.39,Books,2023-05-08,2,28,Urban,0,Low,5,Monday,0,21
11,34.29,Fashion,2023-01-21,1,28,Urban,0,Medium,1,Saturday,0,9
11,664.3,Electronics,2023-05-04,4,28,Urban,0,Medium,5,Thursday,0,48
11,403.38,Electronics,2023-03-03,1,28,Urban,0,Medium,3,Friday,0,13
11,167.47,Fashion,2023-03-16,4,28,Urban,0,Low,3,Thursday,0,42
12,229.91,Electronics,2023-02-12,3,28,Urban,4,Medium,2,Sunday,0,52
12,154.79,Fashion,2023-04-08,2,28,Urban,4,Medium,4,Saturday,0,50
13,195.73,Home & Garden,2023-04-23,2,38,Urban,11,High,4,Sunday,0,20
13,371.15,Home & Garden,2023-07-13,4,38,Urban,11,High,7,Thursday,0,17
14,436.53,Sports,2023-02-14,1,18,Rural,47,High,2,Tuesday,0,31
14,232.5,Home & Garden,2023-05-23,4,18,Rural,47,Medium,5,Tuesday,0,42
14,135.56,Sports,2023-01-07,3,18,Rural,47,nan,1,Saturday,0,44
14,137.14,Fashion,2023-01-01,3,18,Rural,47,High,1,Sunday,0,39
14,126.08,Home & Garden,2023-01-26,1,18,Rural,47,Low,1,Thursday,0,37
14,132.64,Home & Garden,2023-03-07,1,18,Rural,47,Low,3,Tuesday,0,55
14,1079.71,Electronics,2023-01-14,1,18,Rural,47,Medium,1,Saturday,0,44
15,719.56,Home & Garden,2023-05-10,3,18,Urban,11,Medium,5,Wednesday,0,34
15,418.96,Sports,2023-07-26,2,18,Urban,11,High,7,Wednesday,0,25
16,509.85,Electronics,2023-02-05,3,26,Suburban,3,High,2,Sunday,0,43
16,21.89,Books,2023-05-16,4,26,Suburban,3,High,5,Tuesday,0,28
16,272.33,Home & Garden,2023-04-21,2,26,Suburban,3,Low,4,Friday,0,43
16,791.77,Electronics,2023-03-17,2,26,Suburban,3,Medium,3,Friday,0,39
16,263.97,Electronics,2023-02-01,2,26,Suburban,3,Low,2,Wednesday,0,40
16,123.2,Fashion,2023-01-30,1,26,Suburban,3,Low,1,Monday,0,28
16,154.19,Home & Garden,2023-03-16,1,26,Suburban,3,High,3,Thursday,0,31
16,1283.69,Sports,2023-01-03,3,26,Suburban,3,Low,1,Tuesday,0,51
17,269.37,Home & Garden,2023-04-04,3,19,Urban,12,High,4,Tuesday,0,17
17,399.68,Sports,2023-04-23,4,19,Urban,12,Medium,4,Sunday,0,35
17,136.24,Sports,2023-12-20,4,19,Urban,12,High,12,Wednesday,0,38
17,68.88,Fashion,2024-02-17,4,19,Urban,12,Low,2,Saturday,0,21
17,125.58,Electronics,2023-08-26,3,19,Urban,12,High,8,Saturday,0,51
17,248.08,Sports,2023-03-06,3,19,Urban,12,nan,3,Monday,0,34
17,142.53,Home & Garden,2023-03-31,1,19,Urban,12,High,3,Friday,0,26
17,55.75,Electronics,2023-01-04,4,19,Urban,12,High,1,Wednesday,0,24
17,304.15,Electronics,2023-03-26,2,19,Urban,12,High,3,Sunday,0,49
17,72.83,Fashion,2023-02-20,1,19,Urban,12,Medium,2,Monday,0,23
17,512.8,Electronics,2023-02-12,3,19,Urban,12,High,2,Sunday,0,42
17,72.25,Electronics,2023-01-05,3,19,Urban,12,High,1,Thursday,0,40
17,47.18,Books,2023-02-19,3,19,Urban,12,Medium,2,Sunday,0,36
18,34.32,Books,2023-06-23,3,39,Rural,9,High,6,Friday,0,24
19,15.6,Home & Garden,2023-06-26,1,21,Urban,18,Medium,6,Monday,0,38
20,207.32,Sports,2023-02-16,3,18,Urban,1,Low,2,Thursday,0,35
20,286.05,Sports,2023-02-21,3,18,Urban,1,Medium,2,Tuesday,0,17
21,37.15,Books,2023-04-01,2,56,Rural,17,Low,4,Saturday,0,42
21,45.0,Fashion,2023-01-17,3,56,Rural,17,Medium,1,Tuesday,0,24
21,327.99,Sports,2023-03-17,3,56,Rural,17,Low,3,Friday,0,34
22,366.53,Electronics,2023-03-08,1,31,Rural,9,Medium,3,Wednesday,0,39
22,183.82,Fashion,2023-01-25,1,31,Rural,9,High,1,Wednesday,0,27
22,100.54,Electronics,2023-07-10,4,31,Rural,9,Medium,7,Monday,0,39
22,37.12,Home & Garden,2023-07-17,2,31,Rural,9,Low,7,Monday,0,19
22,132.48,Sports,2023-03-01,4,31,Rural,9,Medium,3,Wednesday,0,26
23,180.93,Home & Garden,2023-04-02,4,36,Suburban,39,Low,4,Sunday,0,45
23,351.99,Sports,2023-01-19,1,36,Suburban,39,Medium,1,Thursday,0,36
23,46.27,Sports,2023-10-21,3,36,Suburban,39,Medium,10,Saturday,0,20
23,30.69,Books,2023-01-01,3,36,Suburban,39,nan,1,Sunday,0,31
23,131.74,Home & Garden,2023-04-24,1,36,Suburban,39,Low,4,Monday,0,36
23,171.51,Fashion,2023-03-24,3,36,Suburban,39,High,3,Friday,0,17
23,104.5,Sports,2023-01-26,4,36,Suburban,39,High,1,Thursday,0,48
23,166.6,Home & Garden,2023-01-11,2,36,Suburban,39,nan,1,Wednesday,0,50
23,125.58,Home & Garden,2023-01-03,3,36,Suburban,39,Low,1,Tuesday,0,33
23,28.34,Books,2023-08-19,1,36,Suburban,39,Medium,8,Saturday,0,28
23,48.24,Books,2023-08-08,4,36,Suburban,39,Low,8,Tuesday,0,31
23,168.81,Fashion,2023-02-04,3,36,Suburban,39,Medium,2,Saturday,0,41
24,48.83,Books,2024-01-27,1,18,Urban,5,Low,1,Saturday,0,35
24,449.19,Electronics,2023-01-29,3,18,Urban,5,High,1,Sunday,0,40
24,116.51,Home & Garden,2023-05-04,2,18,Urban,5,Low,5,Thursday,0,45
24,430.58,Electronics,2023-01-27,3,18,Urban,5,Medium,1,Friday,0,48
24,189.96,Sports,2023-01-15,3,18,Urban,5,Medium,1,Sunday,0,23
24,35.05,Books,2023-02-21,1,18,Urban,5,nan,2,Tuesday,0,39
24,265.89,Home & Garden,2023-03-26,2,18,Urban,5,High,3,Sunday,0,46
24,72.37,Home & Garden,2023-01-05,1,18,Urban,5,Low,1,Thursday,0,34
24,31.72,Books,2023-11-29,1,18,Urban,5,Low,11,Wednesday,0,36
24,149.99,Fashion,2023-07-23,1,18,Urban,5,Low,7,Sunday,0,29
24,432.52,Home & Garden,2023-03-04,2,18,Urban,5,High,3,Saturday,0,25
24,485.56,Sports,2023-03-13,4,18,Urban,5,High,3,Monday,0,57
24,383.45,Sports,2023-02-06,4,18,Urban,5,Medium,2,Monday,0,23
24,72.92,Home & Garden,2023-02-18,3,18,Urban,5,Low,2,Saturday,0,48
24,321.7,Electronics,2023-08-13,3,18,Urban,5,High,8,Sunday,0,35
24,99.82,Fashion,2023-03-31,3,18,Urban,5,Medium,3,Friday,0,44
24,29.06,Books,2023-01-07,1,18,Urban,5,nan,1,Saturday,0,30
24,530.15,Electronics,2023-01-28,3,18,Urban,5,Medium,1,Saturday,0,48
24,142.77,Home & Garden,2023-04-09,3,18,Urban,5,Medium,4,Sunday,0,37
24,105.83,Fashion,2023-05-09,2,18,Urban,5,Medium,5,Tuesday,0,25
24,44.2,Fashion,2023-02-14,2,18,Urban,5,Low,2,Tuesday,0,32
24,259.07,Electronics,2023-11-12,3,18,Urban,5,High,11,Sunday,0,33
24,299.38,Home & Garden,2023-06-26,3,18,Urban,5,High,6,Monday,0,41
24,225.29,Home & Garden,2023-05-15,1,18,Urban,5,Low,5,Monday,0,35
24,40.14,Books,2023-04-18,3,18,Urban,5,Low,4,Tuesday,0,33
24,684.44,Electronics,2023-01-10,1,18,Urban,5,Low,1,Tuesday,0,31
24,33.98,Fashion,2023-02-22,2,18,Urban,5,nan,2,Wednesday,0,17
24,114.41,Home & Garden,2023-06-15,1,18,Urban,5,Low,6,Thursday,0,32
24,21.1,Fashion,2023-07-23,2,18,Urban,5,Medium,7,Sunday,0,32
24,425.47,Electronics,2023-05-03,4,18,Urban,5,Low,5,Wednesday,0,26
24,33.12,Fashion,2023-02-04,4,18,Urban,5,Medium,2,Saturday,0,36
25,21.28,Home & Garden,2023-07-04,1,26,Urban,12,High,7,Tuesday,0,36
25,390.73,Electronics,2023-02-23,1,26,Urban,12,High,2,Thursday,0,38
25,589.84,Electronics,2023-03-02,4,26,Urban,12,Low,3,Thursday,0,40
25,327.62,Sports,2023-03-04,2,26,Urban,12,High,3,Saturday,0,23
25,169.02,Sports,2023-03-24,4,26,Urban,12,Medium,3,Friday,0,20
25,46.67,Books,2023-02-21,3,26,Urban,12,nan,2,Tuesday,0,34
25,44.09,Fashion,2023-01-06,4,26,Urban,12,Low,1,Friday,0,22
25,653.24,Electronics,2023-01-05,4,26,Urban,12,Low,1,Thursday,0,33
25,97.02,Electronics,2023-01-01,1,26,Urban,12,Medium,1,Sunday,0,34
25,376.93,Sports,2023-01-11,1,26,Urban,12,Low,1,Wednesday,0,57
25,92.06,Home & Garden,2023-02-07,4,26,Urban,12,Low,2,Tuesday,0,27
26,332.99,Electronics,2023-04-23,1,36,Suburban,32,High,4,Sunday,0,56
26,27.61,Fashion,2023-09-24,1,36,Suburban,32,High,9,Sunday,0,29
26,45.04,Fashion,2023-07-28,1,36,Suburban,32,Medium,7,Friday,0,36
27,358.71,Sports,2023-01-12,3,18,Rural,1,High,1,Thursday,0,45
28,29.94,Books,2023-07-20,3,40,Suburban,33,Medium,7,Thursday,0,40
29,26.37,Sports,2023-01-21,1,25,Suburban,13,Medium,1,Saturday,0,33
29,26.63,Books,2023-02-16,2,25,Suburban,13,Medium,2,Thursday,0,28
29,223.19,Home & Garden,2023-06-09,3,25,Suburban,13,High,6,Friday,0,42
29,11.44,Books,2023-09-25,4,25,Suburban,13,Low,9,Monday,0,34
29,152.68,Fashion,2023-01-06,4,25,Suburban,13,Low,1,Friday,0,28
29,717.66,Electronics,2023-02-15,1,25,Suburban,13,Medium,2,Wednesday,0,56
29,133.63,Electronics,2023-02-01,1,25,Suburban,13,Medium,2,Wednesday,0,36
30,23.48,Fashion,2023-02-23,1,30,Urban,0,High,2,Thursday,0,22
30,130.22,Home & Garden,2023-04-01,4,30,Urban,0,Medium,4,Saturday,0,23
30,28.56,Books,2023-03-15,2,30,Urban,0,Low,3,Wednesday,0,50
30,283.9,Electronics,2023-05-29,4,30,Urban,0,Low,5,Monday,0,30
30,488.61,Sports,2023-01-02,3,30,Urban,0,Low,1,Monday,0,46
30,140.16,Electronics,2023-01-02,1,30,Urban,0,High,1,Monday,0,36
30,629.86,Electronics,2023-02-12,2,30,Urban,0,Medium,2,Sunday,0,48
30,25.64,Sports,2023-04-14,3,30,Urban,0,High,4,Friday,0,49
30,1217.04,Sports,2023-06-02,1,30,Urban,0,Medium,6,Friday,0,61
30,25.92,Books,2023-01-07,1,30,Urban,0,High,1,Saturday,0,38
31,734.35,Sports,2023-10-13,1,25,Suburban,4,nan,10,Friday,0,40
32,394.04,Sports,2023-05-10,3,62,Urban,14,High,5,Wednesday,0,30
32,181.29,Fashion,2023-02-07,3,62,Urban,14,High,2,Tuesday,0,57
32,294.77,Home & Garden,2023-08-25,3,62,Urban,14,Medium,8,Friday,0,34
33,185.24,Sports,2023-03-19,3,34,Urban,0,nan,3,Sunday,0,32
33,567.5,Electronics,2023-09-24,4,34,Urban,0,High,9,Sunday,0,42
33,285.33,Sports,2023-02-05,2,34,Urban,0,nan,2,Sunday,0,36
33,47.96,Books,2023-04-07,2,34,Urban,0,Medium,4,Friday,0,46
33,118.43,Fashion,2023-03-03,3,34,Urban,0,High,3,Friday,0,37
34,451.4,Sports,2023-01-15,3,19,Urban,10,Medium,1,Sunday,0,24
34,31.09,Books,2023-04-18,1,19,Urban,10,Low,4,Tuesday,0,23
34,476.93,Sports,2023-05-05,2,19,Urban,10,Medium,5,Friday,0,38
34,214.34,Electronics,2023-09-09,3,19,Urban,10,High,9,Saturday,0,44
34,196.61,Fashion,2023-06-07,3,19,Urban,10,Low,6,Wednesday,0,18
34,47.75,Books,2023-03-15,2,19,Urban,10,Medium,3,Wednesday,0,35
34,156.32,Fashion,2023-03-06,4,19,Urban,10,Medium,3,Monday,0,40
34,142.49,Sports,2023-04-20,3,19,Urban,10,Medium,4,Thursday,0,41
34,293.42,Sports,2023-03-11,1,19,Urban,10,High,3,Saturday,0,34
34,10.36,Books,2023-09-18,2,19,Urban,10,High,9,Monday,0,40
34,28.13,Home & Garden,2023-01-20,3,19,Urban,10,Medium,1,Friday,0,22
34,87.34,Home & Garden,2023-02-21,4,19,Urban,10,Low,2,Tuesday,0,40
34,10.02,Books,2023-01-17,3,19,Urban,10,Medium,1,Tuesday,0,29
34,287.13,Home & Garden,2023-03-13,3,19,Urban,10,Medium,3,Monday,0,35
34,815.64,Electronics,2023-01-06,3,19,Urban,10,Medium,1,Friday,0,44
34,93.53,Home & Garden,2024-05-03,1,19,Urban,10,Low,5,Friday,0,38
34,297.57,Sports,2023-07-07,1,19,Urban,10,Medium,7,Friday,0,24
34,177.92,Fashion,2023-01-03,3,19,Urban,10,Medium,1,Tuesday,0,41
34,229.26,Home & Garden,2023-11-10,2,19,Urban,10,High,11,Friday,0,42
34,142.32,Fashion,2023-02-26,4,19,Urban,10,Medium,2,Sunday,0,29
34,175.55,Home & Garden,2023-02-09,3,19,Urban,10,Medium,2,Thursday,0,33
34,55.99,Home & Garden,2023-08-23,2,19,Urban,10,Low,8,Wednesday,0,22
35,180.0,Fashion,2023-01-23,4,47,Suburban,5,nan,1,Monday,0,21
35,271.77,Electronics,2023-01-04,2,47,Suburban,5,Medium,1,Wednesday,0,36
35,323.27,Electronics,2023-07-31,1,47,Suburban,5,Low,7,Monday,0,37
35,42.09,Home & Garden,2023-01-05,4,47,Suburban,5,Medium,1,Thursday,0,27
35,159.3,Fashion,2023-06-24,2,47,Suburban,5,High,6,Saturday,0,20
35,769.12,Electronics,2023-09-25,3,47,Suburban,5,High,9,Monday,0,48
35,86.32,Books,2023-03-15,1,47,Suburban,5,High,3,Wednesday,0,27
35,779.81,Electronics,2023-02-06,1,47,Suburban,5,Low,2,Monday,0,36
36,484.25,Sports,2023-04-19,3,18,Urban,11,High,4,Wednesday,0,51
36,686.32,Electronics,2023-02-06,2,18,Urban,11,High,2,Monday,0,32
37,328.21,Electronics,2023-06-14,3,38,Urban,0,Medium,6,Wednesday,0,41
37,31.7,Books,2023-02-17,3,38,Urban,0,High,2,Friday,0,15
37,147.68,Fashion,2023-06-01,1,38,Urban,0,Low,6,Thursday,0,18
37,1450.38,Electronics,2023-04-03,4,38,Urban,0,Low,4,Monday,0,60
37,147.46,Electronics,2023-06-01,3,38,Urban,0,High,6,Thursday,0,29
37,179.07,Electronics,2023-03-01,2,38,Urban,0,Medium,3,Wednesday,0,21
37,244.0,Home & Garden,2023-01-14,1,38,Urban,0,Low,1,Saturday,0,43
38,15.69,Books,2023-04-20,1,18,Suburban,24,Medium,4,Thursday,0,33
38,48.88,Home & Garden,2023-04-22,1,18,Suburban,24,High,4,Saturday,0,9
38,283.99,Electronics,2023-03-12,4,18,Suburban,24,Low,3,Sunday,0,44
38,572.58,Sports,2023-01-02,2,18,Suburban,24,Low,1,Monday,0,29
38,777.69,Electronics,2023-01-27,3,18,Suburban,24,Low,1,Friday,0,26
38,42.69,Books,2023-12-08,3,18,Suburban,24,nan,12,Friday,0,22
38,30.19,Books,2023-07-18,1,18,Suburban,24,nan,7,Tuesday,0,30
38,286.45,Home & Garden,2023-07-31,1,18,Suburban,24,Medium,7,Monday,0,35
38,346.65,Sports,2023-02-08,2,18,Suburban,24,Medium,2,Wednesday,0,19
38,311.01,Home & Garden,2023-10-01,2,18,Suburban,24,Medium,10,Sunday,0,21
38,193.98,Home & Garden,2023-01-18,1,18,Suburban,24,Low,1,Wednesday,0,25
38,64.85,Electronics,2023-01-22,4,18,Suburban,24,High,1,Sunday,0,24
38,751.25,Electronics,2023-07-30,1,18,Suburban,24,Low,7,Sunday,0,50
39,97.9,Fashion,2023-02-10,2,18,Urban,43,Medium,2,Friday,0,27
39,491.47,Sports,2023-05-13,3,18,Urban,43,Medium,5,Saturday,0,46
39,238.8,Home & Garden,2024-04-09,4,18,Urban,43,Low,4,Tuesday,0,45
39,189.43,Fashion,2023-01-02,2,18,Urban,43,Medium,1,Monday,0,38
39,49.08,Books,2023-03-21,4,18,Urban,43,Medium,3,Tuesday,0,1
39,603.41,Electronics,2023-02-24,3,18,Urban,43,High,2,Friday,0,37
39,348.21,Electronics,2023-01-23,1,18,Urban,43,Low,1,Monday,0,34
39,91.53,Home & Garden,2023-04-17,2,18,Urban,43,Low,4,Monday,0,31
39,207.57,Fashion,2023-10-30,3,18,Urban,43,Medium,10,Monday,0,12
39,119.05,Electronics,2023-04-08,3,18,Urban,43,nan,4,Saturday,0,24
39,200.82,Fashion,2023-01-29,2,18,Urban,43,Low,1,Sunday,0,19
39,579.97,Electronics,2023-02-07,4,18,Urban,43,nan,2,Tuesday,0,30
39,185.34,Home & Garden,2023-10-21,2,18,Urban,43,High,10,Saturday,0,30
39,166.12,Electronics,2023-05-14,4,18,Urban,43,High,5,Sunday,0,25
39,18.11,Books,2023-05-01,1,18,Urban,43,Low,5,Monday,0,21
40,339.21,Electronics,2023-03-20,3,37,Suburban,41,Medium,3,Monday,0,33
40,215.36,Electronics,2023-04-07,4,37,Suburban,41,Low,4,Friday,0,28
40,423.53,Electronics,2023-02-09,4,37,Suburban,41,Medium,2,Thursday,0,39
40,39.03,Home & Garden,2023-07-17,4,37,Suburban,41,nan,7,Monday,0,26
40,30.51,Books,2024-07-12,4,37,Suburban,41,Low,7,Friday,0,14
40,460.16,Electronics,2023-05-01,1,37,Suburban,41,Medium,5,Monday,0,27
40,1903.24,Electronics,2023-01-03,1,37,Suburban,41,Low,1,Tuesday,0,60
40,177.34,Electronics,2023-02-13,2,37,Suburban,41,High,2,Monday,0,28
40,76.37,Home & Garden,2023-04-01,2,37,Suburban,41,Low,4,Saturday,0,17
40,179.29,Fashion,2023-03-10,3,37,Suburban,41,Low,3,Friday,0,39
40,41.47,Books,2023-03-14,3,37,Suburban,41,Medium,3,Tuesday,0,33
40,336.5,Home & Garden,2023-09-11,2,37,Suburban,41,High,9,Monday,0,29
40,168.42,Home & Garden,2023-02-15,2,37,Suburban,41,Low,2,Wednesday,0,31
40,36.66,Books,2023-03-02,1,37,Suburban,41,Low,3,Thursday,0,19
40,64.71,Fashion,2023-02-25,4,37,Suburban,41,Low,2,Saturday,0,39
41,110.01,Fashion,2023-04-02,1,46,Urban,16,nan,4,Sunday,0,52
41,305.36,Sports,2023-03-05,4,46,Urban,16,Medium,3,Sunday,0,28
41,124.76,Sports,2023-05-05,2,46,Urban,16,High,5,Friday,0,44
41,93.58,Fashion,2023-01-12,1,46,Urban,16,High,1,Thursday,0,23
41,41.46,Books,2023-05-18,3,46,Urban,16,Low,5,Thursday,0,25
41,43.06,Books,2023-06-13,1,46,Urban,16,Medium,6,Tuesday,0,45
